,Precision,Accuracy,Recall,F1 Score,AUC
Logistic Regression,0.20689655172413793,0.6322916666666667,0.5909090909090909,0.30648330058939094,0.6625219587176109
Kernel SVM,0.226890756302521,0.7270833333333333,0.4090909090909091,0.2918918918918919,0.636930903235251
Decision Tree,0.20994475138121546,0.753125,0.2878787878787879,0.24281150159744408,0.5575867369345631
Random Forest,0.27848101265822783,0.8260416666666667,0.16666666666666666,0.20853080568720378,0.649840799297321
Naïve Bayes,0.21929824561403508,0.6625,0.5681818181818182,0.31645569620253167,0.668917435221783
XGBoost,0.29411764705882354,0.840625,0.11363636363636363,0.16393442622950818,0.6481847460108329
NGBoost,0.2153846153846154,0.746875,0.3181818181818182,0.25688073394495414,0.6289388449714537
LightGBM,0.32,0.84375,0.12121212121212122,0.17582417582417584,0.657791684965598
CatBoost,0.2391304347826087,0.8375,0.08333333333333333,0.12359550561797752,0.6436649099692578
